Laufende Nummer;Regionalschlьssel;Gde. Schl. Nr.;Vgem-Schl. Nr.;Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
1;9;;;Bayern;70550,0706;433996,84;35925,46;51062,93;330319,71;308501,95;3306304,58;2572072,11;123452,17;201873,26;839919,91;10902643;12397614;12843514;6352172;17,80183943;3,596659809;154,5376638;182,0482106;683324;1029193;398254;1052975;855986;3487824;2764622;2571336;113935;118228;124129;133536;-15308;934671;1008835;841964;844875;163960;583845;519673;301781;3316;626482;43505;378;233260;15538;426;330995;25788;181;257442;5184918;2810330;2374588;602524;29358;1720339;1123454;1058454;1253285;3378891;65,16768443;5108702;3305363;64,70064216;73528;4173;17435;27334;30968;13906;4057;97873;93700;3355911;1244456;3654276;387725;122119;110904;7205;1247337;61578380;12443210;99,2;12186958;97,1;12161581;96,9;892404;129,5;12867;143965;25393;62157;23074;18354;2002;2718;53352;12077;18503;22772;2993729;6260635;835535;2591615;2833485;28680221;550052;34208802;88128741;66006;53827;12179;71775;1443;126162;115604;94272;49888;121794;160309;6329671;221314523,1;34964,61713;38144277,99;6026,265502;6563660;523,4722973;182309024;27775,51305;16816903,89;83754,913;1675157,537;7239682,15;7765189,753;343,8762537;386,2684035;375,309842;1319,544656;831,8277546;1315,376611;159,1377863;162,9400812
2;91;;;Oberbayern;17530,1326;118149,34;8835,43;15345,23;73204,82;65203,37;808895,05;614536,49;51820,99;62225,91;212373;3598126;4328218;4588944;2267060;27,53705679;6,023864787;205,2538116;261,7746702;262237;372498;135830;367848;325800;1319884;918364;886483;44704;46066;38878;41827;4239;374838;392193;331260;328561;63632;228566;202207;113251;1012;222476;15107;126;79194;5480;161;128195;9952;64;84351;1963877;1059104;904773;314680;7846;507518;441185;546080;461238;1222894;62,26937838;1827004;1087473;59,52220137;135421;836;4153;7205;9260;3129;663;25246;24410;990305;375345;437368;75902;52271;46163;1780;348977;21569723;4417796;99,6;4313588;97,2;4313180;97,2;324075;136,8;4695;41802;8699;25118;8264;6127;765;1372;22493;5963;8562;7968;890912;2235606;428434;974178;832994;9377201;212504;15757115;37332360;23653;19533;4120;25362;399;37862;34512;27194;18022;44441;55796;2290852;91990982,69;40155,79474;17776700,16;7759,864086;2303275;525,5828812;73993095;32125,16742;7887762,715;20895,171;673286,614;3889952,641;3278182,507;321,8993276;400,9845334;391,3818267;1734,922887;1142,759067;1681,587486;60,16681561;60,62435511
3;92;;;Niederbayern;10328,6128;61576,78;5462,39;4929,67;44313,03;42615,08;533394,86;350444,25;14625,9;18114,4;114225,38;1027374;1172834;1212119;605726;17,98225379;3,349578883;99,46875717;117,3554815;61126;97977;39756;102396;75457;319827;275525;240055;9838;10314;12571;13444;-3130;81738;92645;70855;75133;17512;45946;41201;26997;393;61795;4255;42;25421;1665;37;27051;2133;18;25727;445321;246347;198974;40531;4543;183513;92024;58643;106597;309072;69,40431734;478453;342305;71,54412241;-33233;531;3227;4690;5330;2365;531;16674;16143;507315;162920;1236064;58607;10474;9835;806;128044;5543902;1131561;95,6;1085604;91,7;1084063;91,6;72886;121,9;1567;21259;3554;6427;3117;2624;267;226;5387;634;1767;2986;346955;562675;50537;184401;327737;2931067;80362;2973858;11668315;6273;5266;1007;7345;150;12651;11573;9996;4139;10059;13509;581315;17894849,2;30783,39489;2631227,459;4526,336769;605591;509,163567;14963963;24709,68525;1285717,764;15155,895;127217,686;535502,731;605426,7;345,1213022;352,1662647;341,8218562;1068,769344;751,5971609;1132,550505;209,5399734;210,405081
4;93;;;Oberpfalz;9690,2029;52031,86;4454,82;4667,9;45487,14;43587,44;404176,5;412033,58;15222,35;30946,14;104682,38;969868;1070965;1092339;542114;12,62759468;1,99577017;100,0875111;112,7261563;55144;86449;35131;91995;72023;289712;248202;213683;9076;9512;11278;12202;-2690;67039;75959;60279;63821;12138;40764;38428;24757;338;54013;3714;34;20623;1360;34;25227;1991;12;23692;434682;239954;194728;33294;2490;176358;86004;62422;107404;293565;67,53557773;436669;295707;67,71879845;-2142;239;2293;3565;3823;1959;403;12282;12043;453400;166472;288172;35489;8719;7529;726;132917;5970799;1070980;99,6;1029626;95,7;1021918;95;72169;125,6;1218;17017;2651;5546;2283;1909;177;197;4750;997;1526;2227;292490;534787;51934;200270;282583;2617807;38709;1940903;4928292;5512;4599;913;6438;158;12671;11621;9673;4663;10373;13539;526853;16604117,81;31515,6558;2538815,532;4818,83093;561381;519,2587317;14234954;25357,02847;1184870,682;8890,258;116730,826;483395,013;574076,611;323,2467283;339,540956;364,667005;1091,027079;697,7033814;1120,775124;206,9375013;210,0205272
5;94;;;Oberfranken;7231,4699;43626,63;3272,29;5284,22;34835,53;32772,29;311698,71;298811,65;7233,95;18384,01;86127,42;1036576;1063454;1059358;519304;2,197812799;-0,385160054;143,3423633;146,4927601;49662;79958;32814;85712;64052;267616;247717;231827;8129;8325;12308;13350;-5025;63423;70358;59821;62032;8326;45557;41356;23079;317;48354;3423;27;17905;1145;36;27577;2140;17;22201;412007;217268;194739;20652;2471;160500;86068;59956;103010;280613;68,10879427;419476;288235;68,71310874;-7622;445;1910;2276;2100;1387;584;8702;8257;238749;93040;248858;27587;7522;7536;823;118227;4506800;1052369;99,6;1032993;97,8;1023529;96,9;64350;126,3;961;11285;1391;3143;1103;932;83;88;2694;888;614;1192;288037;539572;49152;213299;277121;2633489;36296;1919399;4720644;5625;4286;1339;5761;159;13113;12447;10285;3962;8958;13611;520341;15962686,91;30677,35755;2430401,579;4670,786232;559779;522,5201763;13503287;24122,53229;1071731,59;6490,176;115179,971;406452,888;541246,61;347,5462508;356,8694363;347,877429;1015,163627;633,2913482;1059,062138;243,0177827;248,9806365
6;95;;;Mittelfranken;7244,8939;48854,81;4310,72;6552,62;40075,46;36820,58;344198,16;249949,26;9713,74;20834,62;98865,09;1521484;1682297;1738686;855081;14,2756677;3,351905163;210,0078814;239,9879087;92788;137520;52740;142410;116847;469329;374932;352120;15519;16168;17898;19266;-3098;134020;140093;125781;114640;25453;86383;77573;41343;396;84214;5918;42;27642;1834;57;47324;3732;27;36781;741565;398920;342645;82564;3535;239997;151522;164957;181554;462400;62,3546149;699955;421086;60,15901022;41314;441;1973;2750;2622;1641;511;9938;9497;333068;114224;535797;66424;15561;14601;1009;186479;8942191;1692980;99,5;1688464;99,2;1685133;99;86089;127,3;1259;13789;3112;7977;2768;2317;171;280;6334;1602;2011;2721;386127;864489;102787;399337;362365;3878183;49465;3863298;7737022;8841;7256;1585;9673;206;19146;17503;13919;8456;20242;26970;863200;28980391,98;33573,20664;4843821,257;5611,470409;911169;532,3598389;24299833;26668,85397;2104297,438;9569,285;264976,71;776917,563;1046735,918;389,3736191;446,0669747;391,5377311;1221,80417;654,7710591;1174,650678;226,8300058;240,1861689
7;96;;;Unterfranken;8531,401;44926,77;4491,87;7386,66;47187,74;44764,55;365585,29;352458,57;7599,63;23503,57;103041,23;1202711;1300647;1306048;645602;8,592005893;0,415254869;140,9746349;153,0871838;64509;101550;40831;108415;82903;332277;302851;272712;10668;11088;13484;14575;-3487;83691;92621;80420;82141;10480;60043;51583;29538;374;60558;4400;47;25186;1647;44;32900;2596;17;25131;497604;271507;226097;32921;3684;186538;107573;68895;130909;358765;72,09849599;517929;379227;73,21988149;-20462;1096;1704;2179;2136;1225;855;9195;8099;128046;35174;375668;67579;10656;10180;834;134408;5961469;1294948;99,8;1289243;99,4;1288487;99,3;75021;119,9;1125;13347;2182;4641;1961;1556;215;190;4155;738;1295;2122;344350;644433;56746;261124;326563;3123521;42923;2811590;7044879;6252;4843;1409;6491;173;14197;12770;10542;4322;11822;16025;650710;20618763,77;31686,56356;3271720,519;5027,924143;692002;525,00918;17436963;25197,85058;1323297,423;8646,651;149343,886;454293,298;707743,681;341,8682329;350,1222172;356,7310735;1017,741815;582,2925569;1049,344933;210,2817429;219,2016655
8;97;;;Schwaben;9993,3575;64830,65;5097,94;6896,63;45215,99;42738,64;538356,01;293838,31;17235,61;27864,61;120605,41;1546504;1779199;1846020;917285;19,36729553;3,75567882;154,7531561;184,7246572;97858;153241;61152;154199;118904;489179;397031;374456;16001;16755;17712;18872;-2117;129922;144966;113548;118547;26419;76586;67325;42816;486;95072;6688;60;37289;2407;57;42721;3244;26;39559;689862;377230;312632;77882;4789;265915;159078;97501;162573;451582;65,45975862;729216;491330;67,37784141;-39748;585;2175;4669;5697;2200;510;15836;15251;705028;297281;532349;56137;16916;15060;1227;198285;9083497;1782576;99,1;1747440;97,2;1745271;97,1;197814;129,3;2042;25466;3804;9305;3578;2889;324;365;7539;1255;2728;3556;444858;879073;95945;359006;424122;4118953;89793;4942639;14697229;9850;8044;1806;10705;198;16522;15178;12663;6324;15899;20859;896400;29262730,72;32644,72415;4651591,481;5189,191746;930463;521,2914424;23876929;25661,34172;1959226,274;14107,477;228421,844;693168,016;1011777,726;364,6413262;374,8763515;343,5387827;1070,165162;650,2290594;1110,644818;192,5277624;194,9087511
9;9171;;;Insgesamt;569,3464;4358,32;527,39;319,91;2425,06;2233,6;30769,85;16788,38;1092,51;653,22;7449,15;94216;106023;108485;53369;15,14498599;2,322137649;165,4799333;190,541846;5701;9061;3578;8437;6144;27830;24583;23151;960;948;1156;1298;-350;8087;8465;7415;7118;1347;4338;3795;2534;34;5991;410;3;2429;149;4;2547;203;1;2465;44265;27378;16887;5117;439;22279;6754;5041;9750;33530;75,7483339;42615;31921;74,90554969;1609;34;136;308;351;141;21;991;957;48967;16836;28886;1906;875;853;56;16266;892048;102937;96,6;95522;89,7;95484;89,6;4738;129;103;1212;262;561;199;165;10;24;403;36;146;221;28645;50587;4387;18988;27212;253067;2118;115279;241849;569;471;98;629;13;1300;1220;1093;584;1262;1329;54061;1770053,381;32741,78023;281989,499;5216,135458;56417;523,7812294;1481089;26252,53027;159414,697;863,678;10414,299;83014,392;64967,004;316,6439361;306,4751688;322,3026701;1479,390638;1320,473733;1671,866097;127,2986865;124,6424045
10;9172;;;Insgesamt;839,9173;3248,07;170,47;304,54;2192,9;2022,63;18864,97;44402,05;1549,78;13258,95;5864,17;90689;100827;103907;50897;14,57508628;3,054737322;107,9733784;123,7105915;5215;7835;3115;8466;6742;26479;21711;24344;863;916;1126;1218;-302;8122;8360;7302;7141;1219;3338;3021;2091;28;4713;313;4;2049;131;4;2192;185;1;1338;33485;17108;16377;5083;278;9951;9270;3590;10396;21539;64,32432432;33686;21756;64,58469394;-217;44;301;400;244;35;0;1024;980;34303;13847;2675;2352;1006;875;54;5306;214955;101827;99,7;95640;93,7;95640;93,7;8264;136,7;112;1333;82;346;126;84;15;27;478;143;179;156;22054;52136;8118;24327;19691;224163;16611;661207;2737508;681;565;116;756;13;1346;1191;991;483;1019;1186;48513;1479935,037;30505,94762;216659,945;4466,018284;48169;470,4509273;1160337;24088,87459;93511,59;577,152;12531,758;31065,096;48618,532;325,3063387;339,0034642;336,7747326;903,9739958;563,9074967;957,3528928;203,5063022;217,0602082
11;9173;;;Insgesamt;1110,6871;4005,58;251,54;531,52;2654,85;2562,97;34154,18;61567,08;4300,89;3603,07;7327,46;98579;119178;124930;61462;26,73084531;4,826394133;88,75473805;112,4796298;6768;10824;4098;9835;7100;32935;27044;26326;1077;1132;1211;1276;-144;9820;10488;8512;8777;1711;4893;4479;2876;34;6469;430;5;3023;192;7;3945;330;1;1950;35459;18455;17004;4817;363;12105;8620;4809;9560;23005;64,87774613;47607;35172;73,87989161;-12167;25;143;278;485;126;13;1070;1045;43505;19006;780;2168;1475;1332;82;7522;346456;120792;99,5;115430;95,1;115430;95,1;9020;136,3;325;1872;224;571;233;159;42;32;644;160;209;275;27572;59302;8988;25266;25048;264100;8334;375145;1188784;719;558;161;728;16;1167;1058;950;619;1161;1508;61176;2371299,346;38761,92209;439146,264;7178,407611;60003;492,6314234;1809683;30159,87534;128153,365;615,395;13557,444;35059,56;77977,42;287,417333;342,2983253;331,374251;1035,708288;535,2544147;1090,623041;117,786305;108,1133777
12;9174;;;Insgesamt;579,1777;4182,51;296,76;707,26;2613,85;2446,62;37888,41;10331,4;546,7;1350,88;7775,03;104280;138697;149370;74745;43,23935558;7,695191677;180,0476536;257,8990987;8672;12949;4752;12222;9346;43251;31344;26834;1321;1427;1217;1286;141;11862;14259;10137;11360;2899;8035;7225;3941;34;8623;661;4;2671;179;3;3635;248;1;1571;38492;20154;18338;7002;339;10450;10700;6204;10799;28548;74,16606048;63304;53380;84,32326551;-24832;24;110;193;325;182;61;895;871;38842;11075;22258;2644;1654;1552;55;6031;266546;143018;100;139691;97,6;139623;97,6;7451;122,1;170;1299;418;957;621;514;58;49;1124;130;352;642;33869;66059;7759;27252;31048;305704;2136;137284;293447;786;678;108;928;13;1534;1398;974;926;1326;1950;71645;2812553,478;39256,80059;501216,91;6995,839347;75521;545,0930009;2402182;31808,13284;161370,219;957,407;14532,604;43792,505;101804,852;310,1425661;313,3305032;325,7046462;1094,710764;556,1612113;1172,940865;80,50834101;72,97069299
13;9175;;;Insgesamt;549,3654;3698,16;208,96;675,76;2314,13;2159,01;26430,44;20485,26;525,81;598,02;6828,04;96283;127568;137421;68564;42,72613026;7,723723818;175,2607532;250,1428909;8277;12861;4730;10985;7425;39194;28303;25646;1359;1262;1107;1210;52;11536;13041;9977;10592;2449;7687;6897;3835;30;7046;473;5;3481;227;4;4997;330;0;0;37617;20449;17168;5944;523;8678;13987;5491;8937;29729;79,03075737;55027;47163;85,70883385;-17434;39;154;207;369;97;16;882;843;40484;17105;6044;2966;1506;1429;52;5462;250265;131641;99,9;125414;95,1;125414;95,1;9822;130,6;150;1187;301;557;434;379;19;36;797;120;246;431;32326;60102;7009;22781;30312;286429;2644;186543;398172;621;495;126;690;12;1011;968;867;478;760;1215;65865;2909127,232;44168,02903;564061,54;8563,904046;68141;527,4112029;2405421;35300,64132;164005,378;734,411;15922,827;46266,526;100825,811;304,0195888;337,0229311;320,8075577;1207,61789;639,5707427;1296,050755;44,29288684;46,88745709
14;9176;;;Insgesamt;1214,0533;5039,47;1061,3;474,72;5647,13;5421,14;56304,69;49479,48;869,37;2529,17;11667,97;97347;123421;128805;65284;32,31532559;4,362304632;80,18368272;106,0953009;7729;11710;4485;11262;8336;35702;27584;21997;1205;1325;1027;1187;138;8813;9926;7685;8453;1473;6134;5012;3390;45;7138;477;4;3033;198;4;2976;228;1;1488;36826;20780;16046;3854;271;13352;7063;7764;8376;27926;75,8322924;53357;44480;83,36300767;-16554;36;217;463;449;223;102;1490;1454;25958;9612;51898;7172;910;848;86;10076;346990;125304;100;124490;99,3;124490;99,3;6224;117,8;145;1643;551;877;462;374;53;35;778;81;247;450;38166;55758;3809;15120;36829;303888;5322;430031;861465;695;551;144;773;12;849;822;717;118;361;735;61954;2287206,096;36917,81154;379556,579;6126,425719;67537;540,2311723;2028720;30038,64548;134645,64;1644,015;10445,37;39843,505;82482,503;332,8868559;317,7792807;338,2421984;1052,609838;548,6011836;1111,901764;105,1521556;113,1596915
15;9177;;;Insgesamt;870,7196;5303,52;431,69;574,05;4460,71;3141,04;60935,85;12634,53;1090,14;1641,47;10579,51;89190;125706;133747;67321;49,95739433;6,396671599;102,4324697;153,6050625;7691;12307;4734;10937;8047;39130;29035;21866;1255;1297;974;1098;199;9929;10619;8640;8933;1686;7292;5657;3400;43;7613;508;4;3203;194;3;3340;238;1;2330;39605;20828;18777;6115;408;9152;13499;6850;9695;28670;72,38984977;57561;46652;81,04793176;-17982;59;286;476;657;307;51;1836;1777;99731;28637;74879;2477;1306;1312;44;3946;157588;128664;99,8;119173;92,4;119158;92,4;10070;133,6;181;1472;416;944;449;363;52;34;815;131;259;425;32590;57637;5700;20270;31667;289621;6117;709414;1136185;719;591;128;803;13;1059;924;784;609;882;1382;64488;2466084,752;38240,98673;426012,32;6606,071207;67655;532,6703986;2111910;31215,87466;169123,105;1600,149;12501,569;66992,046;87800,376;330,9149152;308,4691291;322,1591986;1275,188161;875,9583641;1403,268168;79,09015802;72,68774794
16;9178;;;Insgesamt;799,8318;5566,78;642,53;572,99;4430,09;3540,06;50688,05;15723,3;1402,88;956,56;10865,51;118144;162818;173225;88149;46,62191901;6,391799432;147,7113887;216,5772727;10268;14951;5679;15903;12844;51283;35257;27040;1623;1779;1243;1388;391;16225;17734;15350;15339;2395;9395;7754;4563;41;9035;610;3;3211;192;5;3988;306;1;2236;78401;43746;34655;13134;388;15540;37281;13031;12161;62375;79,5589342;75762;59789;78,91687125;2586;38;226;369;449;215;69;1366;1328;32700;9057;45097;3207;1852;1690;79;8957;500663;167414;100;162566;97,1;162516;97;15294;126;202;1298;413;1000;386;272;44;70;1081;281;445;355;39234;79321;12161;30640;36520;361840;5448;564027;860286;900;711;189;949;14;1156;1041;770;340;714;1251;86046;3240377,861;37658,66933;565449,768;6571,482323;90681;545,0398197;2824157;31143,86696;232146,832;1378,241;17624,21;90771,145;122004,544;323,0726857;326,2182182;344,7155362;1356,544589;850,1775014;1432,531406;81,61285131;51,36235083
17;9179;;;Insgesamt;434,7939;4550,87;340,37;709,46;2505,45;2081,9;24388,52;9733,81;369,83;881,08;8026,08;172760;201597;213481;104273;23,57084973;5,894928992;397,3412452;490,997953;12422;18526;6661;15818;11720;58461;43902;45971;1932;1923;1830;1992;-69;16031;17746;14209;14527;3219;10961;9910;5655;44;10691;707;4;3854;248;7;7641;545;1;2181;46969;24380;22589;7334;200;12057;13612;9286;11814;35016;74,55129979;82794;70868;85,59557456;-35852;17;99;123;197;123;31;590;573;19010;4163;10195;2069;2351;2164;70;5882;261970;206146;99,8;205125;99,3;205125;99,3;12231;128,6;209;1512;408;979;374;308;24;42;806;182;264;360;48285;99034;12431;42934;43669;442630;1916;131915;273779;879;734;145;911;15;1601;1451;1131;344;1234;1502;104744;4192692,566;40027,99746;754926,336;7207,346827;107947;527,7601228;3538255;32777,70573;242600,914;572,735;21199,173;69549,577;150791,183;302,1630747;325,4196427;348,3666577;1147,103475;555,4411131;1195,023561;81,79976185;70,83641655
18;9180;;;Insgesamt;1012,2206;2870,04;165,12;373,8;1963,35;1786,05;22278,64;54246,53;2488,19;16836,39;5325,57;78782;84046;87385;42370;10,92000711;3,972824406;77,83090633;86,33004683;4222;6546;2667;6781;4861;21645;18895;21768;683;711;982;1064;-353;7605;8100;6847;6309;1791;3330;2803;1776;27;4004;263;3;1413;99;4;2506;206;2;1082;26900;12013;14887;3602;225;4454;8784;2872;10565;14265;53,02973978;30650;18034;58,83849918;-3769;28;162;206;217;41;5;659;631;16751;7247;Х;5087;935;899;19;1418;Х;84520;99,5;83011;97,7;83011;97,7;23072;147,7;150;860;80;149;76;51;14;11;161;27;67;67;19682;46910;8484;22920;15506;191465;18950;973948;3068830;536;442;94;599;15;1125;955;634;388;828;945;43533;1458505,879;33503,45437;236017,746;5421,582386;41325;478,653169;1055393;25538,85057;92173,919;396,4;16149,786;26195,214;46611,345;365,0529069;411,9861234;356,8768328;1064,745105;576,0455359;1039,734963;201,0720597;205,6193458
19;9181;;;Insgesamt;804,3774;4699,32;653,85;407,24;3413,61;3047,92;40327,26;23939,33;6134,5;862,63;8862,75;83612;113085;117657;58888;40,71783955;4,042976522;103,9458962;146,2704195;6290;10711;4396;9635;6484;31346;26152;22643;964;1000;953;1069;-69;8586;9129;7416;7531;1598;4912;4346;2843;32;6143;414;4;2789;178;6;3551;271;1;1533;34802;18351;16451;3039;363;11838;8614;4611;9376;25790;74,1049365;43774;34773;79,43756568;-8983;22;147;256;306;208;51;990;968;43805;18464;6362;4800;1341;1162;58;7857;367754;114351;99,9;112519;98,3;112519;98,3;10153;132,3;197;1326;272;483;319;258;39;22;558;76;182;300;32250;53083;4882;18103;30098;264942;1722;113065;264139;672;524;148;708;10;616;595;681;554;939;1358;56276;2161658,155;38411,72356;390195,663;6933,606919;57123;498,3424354;1773825;31052,72832;136872,611;962,672;11733,329;49844,229;73621,997;302,1275394;323,1390899;334,3252211;1173,401668;731,9940418;1253,882362;89,80606651;95,58507725
20;9182;;;Insgesamt;866,229;3648,32;166,92;418,87;2196,71;2013,06;27350,11;47317,34;1865,45;3659,18;6374,48;80840;93630;98286;48065;21,58090054;4,972765139;93,32394399;113,4640915;5069;8185;2999;7641;5519;25770;21054;22049;808;856;994;1045;-189;8361;9188;7470;7501;1687;4046;3799;2315;28;4665;311;3;2179;138;4;2387;171;1;1361;33152;16434;16718;5075;400;10984;10034;4164;7570;23959;72,27014961;36772;27590;75,02991407;-3631;15;150;303;442;94;5;1009;994;35861;17421;248;3269;1376;1255;52;5303;221173;92004;96,5;88670;93;88670;93;99283;139,5;232;1310;213;542;196;143;17;36;549;120;237;192;23374;49253;7137;20891;21225;221530;14917;695626;2192441;672;528;144;703;9;964;885;704;311;731;817;48786;1957160,517;40117,25735;377912,178;7746,324314;46822;489,5599168;1445760;30877,79249;125459,52;655,988;14046,286;45392,424;61987,663;297,5191169;337,7293681;346,9752028;1289,700857;792,4979132;1323,561998;92,07225479;101,9022248
21;9183;;;Insgesamt;805,3105;5054,97;345,35;286,27;3086,82;2814,22;51531,6;18345,96;1012,49;867,59;8582,77;92882;106414;112034;56499;20,61971103;5,281259985;115,336951;139,119097;6052;9322;3764;9488;6882;29637;24931;21958;994;961;1211;1333;-372;8787;9404;7537;7314;2090;4527;4106;2616;32;6043;413;2;2161;127;3;2353;170;2;2238;36951;20071;16880;3089;227;15949;7919;3457;9399;25549;69,142919;43625;32459;74,40458453;-6910;67;253;502;758;167;27;1774;1707;98049;32746;44645;4472;1102;996;85;10529;445605;103804;96,3;94107;87,3;93942;87,1;8827;139;156;1330;396;930;289;226;31;32;588;96;194;298;29428;48339;3983;16790;27566;250734;1275;80792;171194;573;453;120;627;18;1638;1363;1157;1047;1333;2134;53326;1742614,651;32678,518;272602,054;5111,991411;54693;495,937687;1431517;26173,67853;112247,979;1679,897;11297,614;39960,05;59017,53;383,9747018;349,2936749;344,2133591;1010,478368;621,0589644;1058,045632;117,8953189;123,4950316
22;9184;;;Insgesamt;664,2502;7667,39;420,45;1319,5;4177,21;3929,1;20981,19;29892,82;1102,67;863,79;13459,77;250158;317248;340003;168380;35,91530153;7,17262205;376,6021829;511,8599925;20327;31609;10238;26100;19399;96382;66191;69757;3119;3339;2860;3125;214;30416;34888;27875;28000;6888;21470;19076;9986;64;17452;1134;7;4156;269;15;14427;1024;0;0;210772;124320;86452;36378;401;45217;51084;84297;29771;189886;90,09071414;129598;108836;83,97969104;81050;27;84;113;185;91;26;526;499;6894;2373;2244;4389;5662;4838;200;28503;1907187;327205;99,9;325799;99,5;325799;99,5;18073;134,6;268;3217;705;1410;653;491;32;130;1773;397;764;612;69044;158233;23564;68635;66034;694659;13783;1226610;2268309;1527;1237;290;1626;32;3543;3240;2550;891;2266;2761;162818;8403381,162;51612,11391;1881316,767;11554,72225;163807;507,1188644;6391725;39019,85263;944610,085;509,136;40102,638;611471,04;291860,313;259,2421357;260,2317935;294,2723962;2816,032927;3215,752665;3528,041289;0,166312606;0,93375
23;9185;;;Insgesamt;739,807;4663,1;332,88;403,71;3380,62;3023,33;44857,3;17447,37;1342,37;1553,35;8671,3;76493;90593;94654;47580;23,74204176;4,4826863;103,3954664;127,9436612;5456;8190;3263;7803;5772;25725;20891;17554;846;892;886;958;-66;5977;6766;5170;5559;1207;3586;3242;2235;26;4987;322;4;2433;148;2;1889;136;1;1229;30966;17598;13368;3166;248;14069;6298;3060;7291;19806;63,96047278;39361;28215;71,68263001;-8409;38;219;399;369;203;60;1288;1250;31923;10976;31490;5094;888;808;76;7527;277589;92118;99,9;90562;98,2;90562;98,2;6603;133,7;125;3048;338;632;264;215;18;31;538;80;216;242;26798;41990;3052;13347;25591;218631;1091;60733;132521;483;411;72;555;10;798;758;529;264;531;994;45492;1505103,428;33085,01336;232673,129;5114,594412;48226;527,6540805;1297324;26900,92481;92286,592;1127,884;8081,929;30234,878;52674,478;309,6421728;307,2772344;335,7420274;984,6633946;575,7114933;1054,23327;142,752794;146,247067
24;9186;;;Insgesamt;761,1362;5156,21;576,24;464,82;4340,55;3545,79;44159,38;19054,13;1319,89;1042,4;10399,12;88449;116116;124128;63325;40,33850015;6,899996555;116,2059542;163,0816933;7158;10499;4122;10212;7934;35015;27563;21625;1171;1173;1065;1090;83;9836;10911;8369;8482;2429;5314;4803;3134;33;6638;443;3;2721;173;2;2076;145;1;1783;36939;21332;15607;4354;274;15189;9518;4409;7549;26793;72,5330951;51821;41698;80,46544837;-14905;68;286;409;440;162;32;1397;1329;22547;7970;53006;3140;1347;1274;60;9134;612955;118678;99,8;115837;97,4;115837;97,4;5705;123,7;156;1557;377;878;384;275;54;55;794;174;250;370;34910;54181;4063;16811;33307;283472;1846;132795;244304;678;554;124;790;11;955;880;576;400;710;1129;59329;2230974,709;37603,44366;379948,454;6404,093344;62603;533,3770693;1898248;30321,99735;137970,968;1332,242;11507,604;46373,748;78572,816;307,2605959;314,1371496;322,1876883;1126,22926;688,4430441;1226,960043;47,77380883;61,77623896
25;9187;;;Insgesamt;1439,5419;9716,18;631,92;796,66;5079,84;4675,42;69531,95;51072,48;4245,51;2879,65;15888,92;190104;244257;256074;126896;34,70205782;4,837937091;132,0588521;177,8859914;13828;22028;8808;20755;14779;66957;56204;52715;2161;2224;2480;2589;-365;20695;23026;18434;18495;4531;11206;9295;6034;73;13247;917;8;4710;330;6;5023;373;2;3081;77944;40185;37759;9796;719;25901;19985;9287;22052;56030;71,88494304;94930;73175;77,08311387;-17145;96;450;839;1121;173;10;2689;2593;137827;60196;8962;8017;2908;2626;131;17003;706267;246535;99,3;228204;91,9;228149;91,9;23039;139,3;499;3220;620;1480;585;451;74;60;1256;184;495;577;63558;117590;13512;45793;58285;560790;14348;730276;2355389;1336;1096;240;1473;47;3315;2936;2569;1568;2428;3442;120244;4355237,367;36219,9974;739589,881;6150,742499;120138;480,9906635;3425693;28514,64982;261490,163;1615,36;27457,254;86342,137;143949,035;308,1172225;316,3367764;332,8213271;1033,043476;623,5467159;1104,153465;128,2390777;125,4995434
