Laufende Nummer;Regionalschlьssel;Gde. Schl. Nr.;Vgem-Schl. Nr.;Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
1056;9377113;113;349;Brand;9,4841;71,79;4,2;3,7;38;38;293,41;485,19;9,25;42,87;118,16;1223;1186;1180;573;-3,515944399;-0,505902192;129,0084388;124,4725738;46;90;35;97;69;307;281;255;9;6;8;10;-4;78;95;56;90;5;40;42;25;0;0;0;0;0;0;0;0;0;0;0;477;328;149;26;0;389;Х;Х;22;378;79,24528302;476;377;79,20168067;1;0;3;6;3;1;0;13;13;166;46;Х;0;9;9;2;Х;Х;1160;100;1126;97,1;1126;97,1;Х;82,7;1;Х;2;2;1;1;0;0;1;0;0;1;373;617;56;189;372;3182;Х;Х;Х;1;0;1;0;0;0;0;0;0;6;9;592;16240,147;27432,68074;2382,121;4023,853041;649;553,7542662;14354;22117,10324;860,159;8,556;139,504;182,13;527,089;359,9495162;344,9995054;329,9981532;732,0502128;364,7225532;770,6204255;70,5038961;114,1102629
1057;9377115;115;349;Ebnath;11,03;64,15;1,82;2,45;44,37;44,02;403,75;519,13;10,71;56,62;113,27;1495;1336;1293;644;-13,51170569;-3,218562874;135,5394379;117,225748;51;78;35;83;63;340;371;272;11;8;23;13;-5;47;74;55;55;19;62;43;22;2;275;20;0;0;0;0;0;0;0;0;156;93;63;6;Х;74;32;Х;30;95;60,8974359;517;456;88,20116054;-361;1;7;3;1;2;0;14;13;332;96;Х;Х;6;10;1;Х;Х;1313;100;1276;97,2;1276;97,2;Х;102,2;1;Х;0;0;0;0;0;0;0;0;0;0;437;672;13;254;405;3558;Х;Х;Х;2;1;1;1;0;0;0;0;3;6;10;649;16242,708;25027,28505;1974,337;3042,121726;687;517,7091183;14886;21668,12227;687,728;10,055;102,274;54,34;519,549;355,049435;339,9953459;349,9977139;535,6137072;162,0062305;549,3434579;427,1100847;464,2314308
1058;9377116;116;;Erbendorf, St;67,5389;256,88;9,77;12,89;236,34;235,28;2158,51;3898,36;29,65;151,49;515,95;4964;5220;5150;2538;3,746978243;-1,340996169;73,49718685;76,25111045;266;447;165;434;290;1321;1090;1137;34;47;82;86;-39;216;267;190;215;52;284;287;152;2;325;25;0;0;0;0;0;0;0;0;1797;1007;790;56;13;1034;236;109;405;1104;61,43572621;1987;1294;65,12330146;-190;1;13;11;36;7;2;70;69;3147;1236;1013;13;27;21;6;640;20754;5135;99,1;4831;93,2;4831;93,2;76;119,5;12;281;3;7;6;5;1;0;7;1;0;6;1425;2426;131;923;1372;12484;275;3300;34365;26;23;3;38;2;165;160;138;21;41;81;2507;66445,163;26503,85441;8815,132;3516,207419;2652;504,4702302;56921;21463,42383;3575,731;47,08;453,116;901,077;2166,75;329,9922899;329,9997087;320,0000557;694,5864413;374,4555167;747,0782828;303,1795269;334,1876947
1059;9377117;117;351;Falkenberg, M;39,2497;69,1;2,14;2,2;137,07;137,07;1464,73;1950,72;170,21;128,8;210,73;946;974;940;472;-0,634249471;-3,490759754;24,10191083;23,94904459;40;90;33;92;49;257;206;173;12;4;6;8;-4;22;32;21;47;-15;31;23;18;1;38;2;0;0;0;0;0;0;0;0;245;181;64;8;8;23;Х;Х;Х;202;82,44897959;364;321;88,18681319;-119;0;7;5;13;11;0;36;36;2108;783;608;Х;7;4;0;0;0;944;98,2;869;90,4;727;75,7;26;121,9;0;0;3;4;1;1;0;0;2;0;1;1;283;424;10;110;304;2440;Х;Х;Х;6;3;3;7;0;0;0;0;Х;3;8;438;15441,068;35253,57991;2620,471;5982,810502;459;482,1428571;13747;29949,89107;1066,797;29,797;64,012;530,521;441,677;359,9975837;360,0022496;327,0004626;1115,896444;899,2594142;1221,231172;133,9747899;46,12721585
1060;9377118;118;;Friedenfels;16,2821;65,44;2,09;2,57;51,55;51,55;570,32;861,3;22,98;51,96;122,36;1444;1279;1263;642;-12,53462604;-1,250977326;88,6977887;77,57985258;50;79;43;122;62;316;298;293;9;1;12;16;-15;54;72;61;54;18;40;35;21;1;31;2;0;0;0;0;0;0;0;0;201;123;78;8;0;107;45;19;30;117;58,20895522;492;408;82,92682927;-291;0;4;3;5;2;1;15;15;384;116;54;Х;5;5;1;Х;Х;1274;100;1123;88,1;1123;88,1;1;105,4;2;Х;0;0;0;0;0;0;0;0;0;0;396;658;28;251;379;3459;94;1787;6673;4;4;0;4;0;0;0;0;Х;3;6;605;18322,8;30285,61983;1792,78;2963,272727;634;488,8203547;13684;21583,59621;708,121;13,779;109,301;101,921;481,09;359,9529781;349,9983989;350;564,6897927;210,5518341;578,6172249;413,9244094;431,6222222
1061;9377119;119;;Fuchsmьhl, M;14,8362;66,9;4,13;4,87;59,04;59,04;438,12;877,57;11,22;21,77;135,53;1732;1667;1620;790;-6,466512702;-2,819436113;116,7115903;109,1644205;63;116;51;126;92;400;451;321;11;11;20;25;-14;106;54;55;75;-21;62;59;44;0;0;0;0;0;0;0;0;0;0;0;187;87;100;20;Х;Х;10;Х;Х;128;68,44919786;649;590;90,90909091;-462;0;3;6;6;1;0;16;16;305;85;Х;Х;4;7;0;0;0;1610;99,1;1478;91;1478;91;37;105,5;0;0;2;3;1;1;0;0;1;0;0;1;501;829;27;334;468;4257;Х;Х;Х;1;1;0;2;1;51;44;41;Х;12;26;830;22033,198;26546,02169;2862,879;3449,251807;884;521,8417946;20024;22651,58371;899,369;14,273;119,491;80,162;682,773;359,9747793;340,0039836;329,9978247;547,727771;154,0213155;563,226553;455,4742715;455,8574018
1062;9377127;127;;Immenreuth;25,338;118,41;3,2;8,28;113,2;99,19;805,15;1392,81;45,38;47,37;243,7;1890;1881;1885;971;-0,264550265;0,212652844;74,58563536;74,38831886;122;171;83;134;104;494;452;325;16;19;14;20;-1;90;102;83;73;29;90;101;63;1;78;5;0;0;0;0;0;0;0;0;397;226;171;17;Х;246;20;Х;Х;269;67,7581864;794;666;83,8790932;-397;1;8;12;5;2;1;29;28;759;269;22;211;17;14;2;Х;Х;1834;99,9;1573;85,7;1573;85,7;118;125,5;4;106;1;2;6;5;1;0;7;1;0;6;560;921;78;284;559;4909;Х;1157;5944;7;5;2;11;0;0;0;0;3;4;19;895;28932,795;32327,14525;3974,858;4441,182123;980;535,5191257;23690;24173,46939;1254,911;24,497;158,164;164,209;902,753;359,9853049;339,9987102;369,9970072;672,8745308;229,9276139;682,70563;403,5367965;347,3968767
1063;9377128;128;348;Kastl;24,7455;73,93;4,9;6,23;91,51;83,39;1087,31;1145,93;21,75;42,99;176,9;1240;1417;1393;718;12,33870968;-1,693719125;50,1010101;56,28282828;85;136;46;122;91;385;321;207;13;20;5;13;7;51;42;35;56;-14;97;91;39;0;0;0;0;0;0;0;0;0;0;0;192;147;45;Х;Х;Х;0;15;Х;139;72,39583333;621;568;91,46537842;-429;0;6;8;5;7;0;26;26;939;337;Х;Х;6;8;2;Х;Х;1370;99,2;1348;97,6;1348;97,6;95;128;3;26;4;6;5;5;0;0;6;0;1;5;421;643;27;154;462;3760;0;0;0;1;1;0;4;0;0;0;0;0;Х;8;657;22942,296;34919,78082;3399,804;5174,739726;725;510,2040816;19997;27582,06897;1350,268;20,437;91,52;478,927;758,76;274,9865447;275;319,9996458;967,9340502;566,2315412;1064,8681;148,3668122;0
1064;9377129;129;348;Kemnath, St;56,8188;285,22;20,07;18;273,84;270,75;3069,21;1740,57;122,41;152,56;594,82;5045;5297;5399;2633;7,016848365;1,925618274;88,78915875;95,01935938;287;463;184;430;323;1506;1186;1020;56;44;75;79;-35;277;361;220;284;77;233;208;111;2;495;34;1;986;61;0;0;0;0;0;3298;1941;1357;284;Х;2030;413;Х;505;2509;76,07640995;2181;1393;63,8697845;1116;2;26;30;28;16;0;102;100;2789;1015;97;250;40;33;3;Х;Х;5306;99,9;4978;93,7;4968;93,6;92;132,2;8;62;13;19;13;12;1;0;19;1;3;15;1560;2602;160;951;1491;13596;84;3016;7496;35;28;7;42;1;107;107;94;12;30;66;2546;87219,112;34257,31029;14094,273;5535,849568;2669;511,7929051;67642;25343,57437;5690,635;51,262;584,283;2081,17;2966,311;320,0074911;320,0007668;320,000077;1068,262624;692,0114511;1171,212878;12,80195599;100,5751634
1065;9377131;131;;Konnersreuth, M;23,4831;96,58;31,93;9,73;104,07;104,07;1270,7;750,91;26,4;57,99;214,65;1825;1874;1805;941;-1,095890411;-3,681963714;77,72572402;76,87393526;103;155;54;177;116;434;420;346;14;20;20;39;-19;45;60;56;64;-4;77;76;45;1;58;3;0;0;0;1;24;6;0;0;386;215;171;68;4;286;Х;3;Х;282;73,05699482;725;621;85,65517241;-339;0;5;12;16;6;1;40;40;1871;579;1104;0;5;6;2;Х;Х;1849;99,6;1751;94,3;1751;94,3;Х;127,4;7;33;0;0;0;0;0;0;0;0;0;0;508;745;25;232;488;4110;Х;Х;Х;6;6;0;10;1;42;37;39;3;14;23;819;23312,305;28464,35287;2753,647;3362,206349;862;453,6842105;19813;22984,91879;1030,84;25,181;117,879;237,057;647,54;355,0119836;340,0028843;329,998733;567,6431718;266,5985683;595,9498899;411,8264642;427,4592228
1066;9377132;132;350;Krummennaab;17,6824;76,24;16,91;6,75;79,8;71,56;981,26;507,96;31,31;68,01;172,04;1748;1548;1473;751;-15,73226545;-4,84496124;98,86877828;83,31447964;82;98;45;118;89;382;355;304;22;13;20;13;0;71;76;53;93;-17;42;34;23;1;111;6;0;0;0;0;0;0;0;0;69;40;29;0;7;Х;12;Х;21;40;57,97101449;579;550;94,99136442;-510;0;4;2;6;9;2;23;23;1341;505;Х;Х;11;15;0;0;0;1476;99,4;1383;93,1;1348;90,8;Х;120,7;0;0;2;2;1;1;0;0;1;0;1;0;466;773;25;282;466;4087;0;Х;Х;6;5;1;5;0;0;0;0;Х;6;9;771;19062,792;24724,76265;2332,783;3025,658885;821;531,7357513;16976;20677,2229;789,789;14,982;97,547;69,372;603,047;330;329,9966171;329,9954065;531,8444444;147,9245791;547,5171717;404,8201635;468,7096774
1067;9377133;133;;Kulmain;32,3068;134,61;9,82;5,13;167,98;148,21;1645,1;1159,91;25,64;82,49;315,68;2134;2325;2272;1103;6,466729147;-2,279569892;66,04766326;70,31878675;109;189;72;214;117;627;512;432;23;18;22;23;-5;68;97;76;73;24;126;82;52;1;73;4;0;0;0;0;0;0;0;0;123;53;70;9;Х;39;Х;12;Х;70;56,91056911;914;861;94,20131291;-791;1;7;13;19;10;1;51;50;2086;787;Х;Х;11;11;0;0;0;2273;100;2202;96,9;2202;96,9;589;113,3;1;Х;2;3;7;7;0;0;10;0;0;10;693;1039;24;290;725;5862;Х;Х;Х;21;19;2;29;0;0;0;0;Х;8;10;1110;32789,361;29539,96486;4286,938;3862,106306;1225;525,5255255;30121;24588,57143;1345,647;35,639;159,132;68,764;1076,087;370,0062292;369,9969774;349,9939718;594,6296951;129,3150685;596,7308882;396,9380531;426,6027519
1068;9377137;137;347;Leonberg;51,3347;88,83;5,18;14,01;153,73;153,73;1727,09;2967,74;72,97;103,92;260,2;1075;1079;1015;540;-5,581395349;-5,93141798;20,94291837;19,7740113;50;93;35;95;47;265;272;158;10;7;13;9;-2;32;17;39;26;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;27;8;9;3;Х;6;0;Х;24;68,57142857;376;365;97,07446809;-341;1;5;8;20;6;2;42;41;2249;839;2598;Х;6;2;0;0;0;1035;99,9;989;95,5;989;95,5;509;124,4;1;Х;1;1;0;0;0;0;0;0;0;0;312;432;11;121;300;2480;Х;Х;Х;9;6;3;7;0;0;0;0;Х;Х;4;441;10310,365;23379,51247;1208,927;2741,331066;450;437,3177843;9138;20306,66667;516,358;42,595;57,82;89,133;325,898;350;350;324,9963677;509,7314906;231,8035538;531,1026654;455,6824782;446,8499025
